scale,compression,max_rank,erank
14,0.0008299350738525391,123,65.41617291623261
14,0.0008517876267433167,124,66.27229825137444
14,0.0008325725793838501,122,65.52009668403917
14,0.0008119791746139526,120,64.70423584051183
14,0.0007786154747009277,118,63.36016695360095
14,0.000841096043586731,123,65.85482003267451
14,0.000850774347782135,125,66.23284518378863
14,0.0008627995848655701,127,66.69955624564318
14,0.0008393600583076477,125,65.78678451312172
14,0.0008541718125343323,125,66.36503653365075
14,0.0008401796221733093,123,65.81891304466504
14,0.0008628219366073608,126,66.70042069945781
14,0.0008229762315750122,122,65.14118324942112
14,0.0008151084184646606,120,64.82887007043982
14,0.0008362680673599243,122,65.6654308826876
14,0.0008291751146316528,123,65.38619814483033
14,0.0008400306105613708,125,65.81307265940677
14,0.0008456557989120483,123,66.03318909743132
14,0.0008526965975761414,125,66.30767001114455
14,0.0008486360311508179,126,66.14951042877807
14,0.0008429661393165588,124,65.92803300510855
14,0.0008463412523269653,124,66.05996113023716
14,0.0008230134844779968,122,65.14265844552511
14,0.0008295699954032898,122,65.4017749847435
14,0.0008362084627151489,123,65.66308933350987
14,0.0008369237184524536,123,65.6911824182385
14,0.0008318722248077393,121,65.49251717846008
14,0.0008344650268554688,123,65.59456206233145
14,0.0008231550455093384,122,65.14826388625688
14,0.0008221268653869629,122,65.10753971479988
15,0.00028001703321933746,137,73.2379985299737
15,0.0002622809261083603,130,70.87948550406625
15,0.0002724751830101013,132,72.24450324950605
15,0.0002684071660041809,133,71.70290743884057
15,0.00026561133563518524,130,71.32830118484083
15,0.00027257204055786133,132,72.2573489347353
15,0.00025736913084983826,129,70.2123247601973
15,0.0002730581909418106,135,72.32178994409834
15,0.0002547353506088257,128,69.85195980489999
15,0.0002563800662755966,128,70.07721393784254
15,0.00023175030946731567,124,66.62441400760383
15,0.0002662781625986099,130,71.41782599303852
15,0.00025790929794311523,129,70.28600449769615
15,0.00025199539959430695,125,69.47508541843385
15,0.0002646166831254959,131,71.19455509121703
15,0.0002661570906639099,131,71.40157982454663
15,0.00025534629821777344,128,69.93571756693686
15,0.00026756152510643005,132,71.5898088273806
15,0.0002648625522851944,131,71.22763927854403
