method,scale,error,serror,time,rmax,erank
d TTTI,21,2.583137122632767e-06,1.4036130846637048e-08,0.16957712173461914,38,0.003939628601074219
dd cross,21,116.87064075310275,1.6715819269695673,13.637441271916032,36,0.006266593933105469
dd TTI,21,0.0026265132517265615,4.088180164051501e-06,0.18040847778320312,85,0.003939628601074219
cross,22,1.9164865035892082e-10,8.972037288451558e-13,20.052973768673837,29,0.0018811225891113281
TTI,22,3.357212608267398e-13,4.790702318123968e-15,0.16736197471618652,30,0.0019774436950683594
d cross,22,0.00022996445177838617,7.3342973428209995e-06,20.069608232937753,33,0.00272369384765625
d TTTI,22,2.4478670112204265e-06,9.718344767751054e-09,0.17108654975891113,38,0.0019774436950683594
dd cross,22,1105.669309358594,20.745765670076672,20.07369830366224,35,0.0031957626342773438
dd TTI,22,0.002634929241003724,3.128891677828132e-06,0.18167376518249512,85,0.0019774436950683594
cross,23,2.000737936897396e-10,1.1446425561776467e-12,28.408516442403197,29,0.0009708404541015625
TTI,23,3.3733683064271765e-13,3.9381055797235425e-15,0.16819190979003906,30,0.0009925365447998047
d cross,23,0.00039591892245497876,1.2654090024677027e-05,28.431096589192748,33,0.0014109611511230469
d TTTI,23,2.417104333191322e-06,6.69592414831085e-09,0.1719205379486084,38,0.0009925365447998047
dd cross,23,13025.63695564677,124.15264001083779,28.436413085088134,35,0.0016562938690185547
dd TTI,23,0.002634984342022206,5.850122086424979e-06,0.18340015411376953,86,0.0009925365447998047
cross,24,1.4163745877588382e-10,7.597996801179593e-13,125.54771491698921,29,0.0005882978439331055
TTI,24,3.3660957284749316e-13,3.765361251395224e-15,0.16736578941345215,30,0.0005029439926147461
d cross,24,0.00013949055548950396,6.311108081819551e-06,125.57179853133857,34,0.0008627176284790039
d TTTI,24,2.40215496277753e-06,5.856700902329641e-09,0.16658735275268555,38,0.0005029439926147461
dd cross,24,7953.735041585722,83.51691507283832,125.5775491874665,36,0.0010112524032592773
dd TTI,24,0.002637470630649644,4.436614061556511e-06,0.17573094367980957,86,0.0005029439926147461
cross,25,1.4479576624222297e-10,1.0307095727655522e-12,52.62404517363757,28,0.00028121471405029297
TTI,25,3.349134931456924e-13,2.5341170200883477e-15,0.16605162620544434,30,0.00025200843811035156
d cross,25,0.00018047355337989476,1.3613334754943288e-05,52.6669269008562,34,0.0004507899284362793
d TTTI,25,2.404953486364818e-06,1.0645691880927504e-08,0.1671457290649414,38,0.00025200843811035156
dd cross,25,76475.26557559201,414.0131722707759,52.66088418196887,36,0.0005286335945129395
dd TTI,25,0.0026355588982055174,3.0897342461496756e-06,0.17628049850463867,86,0.00025200843811035156
cross,26,1.6248571582158209e-10,1.2835425135180128e-12,131.38780977390707,35,0.0004582405090332031
TTI,26,3.346262012081303e-13,4.591669805522508e-15,0.16709232330322266,31,0.00013044476509094238
d cross,26,0.0002546398989988634,6.236253483112733e-05,131.5161292757839,40,0.0006365180015563965
d TTTI,26,2.402639715476531e-06,7.739989656410553e-09,0.1677837371826172,38,0.00013044476509094238
dd cross,26,2116283.5682354006,8789.566149845967,131.44887473247945,42,0.0007062852382659912
dd TTI,26,0.002637697031472731,2.8210756891913593e-06,0.1770942211151123,86,0.00013044476509094238
cross,27,1.4824603778031128e-10,1.1179883724970828e-12,94.55329333245754,47,0.00033439695835113525
TTI,27,3.3510953123295763e-13,5.302217656831246e-15,0.17168354988098145,31,6.535649299621582e-05
d cross,27,0.0001948332564036893,0.000154427191153123,94.63400803506374,51,0.0004667937755584717
d TTTI,27,2.4012037420446185e-06,8.893777095136451e-09,0.17421579360961914,39,6.535649299621582e-05
dd cross,27,4138327.1669609705,6977.317644413035,94.64466248452663,53,0.0005076229572296143
dd TTI,27,0.0026337650459998425,1.782062271070592e-06,0.1849076747894287,86,6.535649299621582e-05
cross,28,1.4378264171682406e-10,9.77349084597907e-13,123.14422364067286,50,0.00023257732391357422
TTI,28,3.3601809310900977e-13,3.6908402078225465e-15,0.1729567050933838,31,3.2745301723480225e-05
d cross,28,0.0005953850336498842,9.444469825006655e-05,123.23220939468592,54,0.00033195316791534424
d TTTI,28,2.4045697661218923e-06,9.448698556344131e-09,0.1748979091644287,39,3.2745301723480225e-05
dd cross,28,6288481.855385168,23192.44720640198,123.24513335060328,56,0.00035771727561950684
dd TTI,28,0.0026384825912402626,3.5010546192250673e-06,0.18538784980773926,87,3.2745301723480225e-05
cross,19,1.453700723487837e-10,1.0291942394837716e-12,12.956477539613843,27,0.013668060302734375
TTI,19,2.1452106116503975e-15,2.1992258072409914e-17,0.16225457191467285,30,0.01560211181640625
d cross,19,9.723362632646166e-06,3.308925082978834e-07,12.970976965501904,31,0.0194091796875
d TTTI,19,4.245731829447082e-06,8.980636978112364e-09,0.16710996627807617,39,0.01560211181640625
dd cross,19,4.460846114599674,0.12862941165008235,12.973363297060132,33,0.022487640380859375
