Dimension,compression,MaxRank
12,0.00048509395855944604,325
12,0.0004854539438383654,325
12,0.0004803955525858328,325
12,0.000483741590869613,325
12,0.00048541282012593,325
12,0.0004803942720172927,325
12,0.00048370474542025477,325
12,0.00048536148096900433,325
12,0.0004804644995601848,325
12,0.0004850927070947364,325
12,0.0004853772261412814,325
12,0.00048045550647657365,325
12,0.00048369898286182433,325
12,0.00048533732478972524,325
12,0.00048037820670288056,325
12,0.00048517748655285686,325
12,0.00048541549767833203,325
12,0.0004804473283002153,325
13,8.6482648839592e-05,365
13,8.653751319798175e-05,365
13,8.549597441742662e-05,365
13,8.625560985819902e-05,365
13,8.630370393802878e-05,365
13,8.547456127416808e-05,365
13,8.625842565379571e-05,365
13,8.653562508698087e-05,365
13,8.57203431223752e-05,365
13,8.650449490232859e-05,365
13,8.65482561493991e-05,365
13,8.574304047215264e-05,365
13,8.649696428619791e-05,365
13,8.653218719700817e-05,365
13,8.574807543482166e-05,365
13,8.650683776068036e-05,365
13,8.6550257037743e-05,365
13,8.575079300499056e-05,365
13,8.649697883811314e-05,365
13,8.630994307168294e-05,365
13,8.573848208470736e-05,365
13,8.623674330010545e-05,365
13,8.607529343862552e-05,365
13,8.573926061217207e-05,365
13,8.650261406728532e-05,365
13,8.654267185193021e-05,365
13,8.575048741477076e-05,365
13,8.649740448163357e-05,365
13,8.653041186335031e-05,365
13,8.574135244998615e-05,365
14,1.4774379224036238e-05,406
14,1.4738805248271092e-05,406
14,1.4537280776494299e-05,406
14,1.4772848089705803e-05,406
14,1.4776420130147017e-05,406
14,1.4575128489013878e-05,406
14,1.48086271565262e-05,406
14,1.4781401432628627e-05,406
14,1.4577678712157649e-05,406
14,1.4738454183316207e-05,406
14,1.4745171711183502e-05,406
14,1.4536595926983864e-05,406
14,1.473637234994385e-05,406
14,1.4814487485637073e-05,406
14,1.453862000744266e-05,406
14,1.4772056829315261e-05,406
14,1.4776273701500031e-05,406
14,1.4498395785267348e-05,406
14,1.4738894833499216e-05,406
14,1.481820504523057e-05,406
14,1.457964367546083e-05,406
14,1.4698798850076855e-05,406
14,1.4744118061571498e-05,406
14,1.446205101274245e-05,406
14,1.4772817166885943e-05,406
14,1.4777836213397677e-05,406
14,1.4539157518811407e-05,406
14,1.4769446579521173e-05,406
14,1.4775014051338076e-05,406
14,1.457925395698112e-05,406
15,2.442934516011519e-06,451
15,2.4436878049982624e-06,451
15,2.396239011659418e-06,451
15,2.4482755804910994e-06,451
15,2.4433859664441115e-06,451
15,2.4020443731842533e-06,451
15,2.448263813903395e-06,451
15,2.4490604744187294e-06,451
15,2.395941322674844e-06,451
15,2.420704191763434e-06,451
15,2.427173882324496e-06,451
15,2.407948926475001e-06,451
15,2.4370670246298687e-06,451
15,2.4324312164480943e-06,451
15,2.4021483966407686e-06,451
15,2.4369420259517938e-06,451
15,2.426502845764844e-06,451
15,2.4022247941957175e-06,451
15,2.4424695936886565e-06,451
15,2.4371023243929812e-06,451
15,2.395642667352149e-06,451
15,2.4433275882529415e-06,451
15,2.437748975125942e-06,451
15,2.396299322526829e-06,451
15,2.442780925093757e-06,451
15,2.4492862564784446e-06,451
15,2.402061653583587e-06,451
15,2.4264345199753734e-06,451
15,2.432802631346931e-06,451
15,2.3962378747910407e-06,451
